Title,Section,Description,Path
,3-3.7,Agreement Between Department and County,
,3-3.8,Extraordinary Withholding by Comptroller,
,3-3.9,Bonds Are Departmental Debt,
,3-5.0,Bonds Authorized by Trust Agreements,
,3-5.1,Definitions,
,3-5.1,"Consent of Instrumentality, Agency, or Unit of State Not Required",
,3-5.2,Purpose of Subtitle,
,3-5.2,Provisions for Payment of Bonds,
,3-5.3,Bonds Authorized,
,3-5.3,Bonds Not Debt of State or Department; Full Faith and Credit Not Pledged; Obligation of Participating Counties,
,3-5.4,Resolution Authorizing Issuance of Bonds; Postponement of Time for Receipt of Proposals; Execution of Bonds,
,3-5.4,Participation of Counties,
,3-5.5,Bonds Are Investment Securities,
,3-5.5,Determination of Amount; Subsequent Procedure,
,3-5.6,Exemption From  8-206 and 8-208 of State Finance and Procurement Article,
,3-5.6,Requirements for Participation of Counties,
,3-5.7,Interim Certificates and Temporary Bonds,
,3-5.7,Agreement Between Department and County,
,3-5.8,Bond Anticipation Notes,
,3-5.8,Borrowing of Proceeds; Agreements to Participate in Bond Issue; Payment Obligations,
,3-5.9,Exemption From Taxation,
,3-5.9,Revenue Refunding Bonds,
,3-6.1,Financing the Costs of Transportation Facilities,
,3-6.2,Special Transportation Project Revenue Bonds,
,3-6.3,Designation as Investment Securities; Exemption From Other Provisions,
,3-6.4,Refunding Bonds,
,3-6.5,Temporary Bonds and Bond Anticipation Notes,
,3-6.6,Trust Agreement,
,3-6.7,Exemption From Taxation; Additional Limitations,
,4-1.1,Definitions,
,4-1.2,Legislative Policy,
,4-2.0,Financial Forecast,
,4-2.1,Authority Established,
,4-2.1,Certain Visits or Tours Not Considered Meetings,
,4-2.2,Chairman; Composition; Tenure; Vacancies; Compensation and Expenses,
,4-2.2,Chesapeake Bay Bridge Reconstruction Advisory Group -- Members -- Terms -- Activities,
,4-2.3,Staff of Authority,
,4-2.4,General Jurisdiction of Authority,
,4-2.5,General Powers of Authority,
,4-2.6,Power to Condemn Land for Certain Purposes,
,4-2.7,Power to Condemn Land for Certain Purposes -- Exemption of Authority From Taxation,
,4-2.8,Maryland Transportation Authority Police Force,
,4-2.9,"Continuation and Change of Resolutions, Rules, Forms, Orders, and Directives; Certain References to Maryland Port Authority or State Roads Commission",
,4-3.0,Bond Anticipation Notes,
,4-3.0,Limitation on Use of Federal Aid for Repayment of Bonds; Lien and Priorities in Event of Shortfall,
,4-3.1,General Power to Borrow Money and Issue Evidences of Obligation,
,4-3.1,Trust Agreement Securing Bonds,
,4-3.1,Intercounty Connector,
,4-3.2,Power to Issue Revenue Bonds and Determine Related Matters,
,4-3.2,Charges for Transportation Facilities Projects,
,4-3.3,Execution of Bonds,
,4-3.3,Transportation Authority Fund,
,4-3.4,Bonds and Other Evidences of Obligation Are Investment Securities,
,4-3.4,Construction of Subtitle,
,4-3.5,Exemption From  8-206 and 8-208 of State Finance and Procurement Article,
,4-3.5,Trust Funds,
,4-3.6,Other Approval Not Required; Exceptions,
,4-3.6,Remedies of Bondholder and Trustee,
,4-3.7,Additional Bonds,
,4-3.7,Bonds and Other Evidences of Obligation Are Legal Investments,
,4-3.8,Revenue Refunding Bonds,
,4-3.8,Exemption From Taxation,
,4-3.9,Interim Certificates and Temporary Bonds,
,4-3.9,Full Faith and Credit Not Pledged,
,4-4.1,Control of Entrances and Exits,
,4-4.2,Traffic Delay Signs for Baltimore Harbor Tunnel,
,4-4.3,Railroad Tracks on Kennedy Highway Prohibited,
,4-4.4,Service Facilities on Kennedy Highway,
,4-4.5,Informational Signs,
,4-4.6,"Harry W. Nice/thomas ""Mac"" Middleton Bridge",
,4-4.7,Construction of Toll Roads,
,4-208.1,Maryland Transportation Authority Police Force -- Chief Police Officer,
,4-311.1,Vehicle Parking Facility Financing,
,4-312.1,Elimination of Ramp Tolls on Kennedy Highway in Harford and Cecil Counties,
,4-320.1,Bond Anticipation Notes,
,5-1.1,Definitions,
,5-1.2,Legislative Policy,
,5-1.3,"Jurisdiction Over Crimes, Torts, Wrongs, and Contracts",
,5-1.4,Sovereignty in and Ownership of Space,
,5-1.5,Local Appropriations,
,5-1.6,Airport in Sixth Election District of Queen Anne's County Prohibited,
,5-2.0,Administrative Actions; Notice and Opportunity for Hearing; Judicial Review,
,5-2.1,Maryland Aviation Commission -- in General,
,5-2.1,Officers or Employees of Department as Witnesses,
,5-2.2,Maryland Aviation Administration -- Established,
,5-2.3,Management and Control of Administration,
,5-2.3,Contracts -- in General,
,5-2.4,General Powers and Duties of Administration,
,5-2.5,Cooperation by Political Subdivisions,
,5-2.5,Technical Services of Administration,
,5-2.6,Federal-State Cooperation,
,5-2.6,"Continuation and Change of Rules, Regulations, Forms, Orders, and Directives; References to State Aviation Commission and Director of Aeronautics",
,5-2.7,State Airways System,
,5-2.7,Contracts or Interests in Delivery or Sale of Goods and Services,
,5-2.8,"Rules, Regulations, and Standards",
,5-2.9,"Investigations, Inquiries, and Hearings",
,5-3.1,Definitions,
,5-3.2,Exemptions,
,5-3.3,Approval of Airport Sites,
,5-3.4,Licensing of Airports,
,5-3.5,Public Hearings,
,5-3.6,Registration of Other Airports,
,5-5.0,Prohibited Uses,
,5-5.1,Definitions,
,5-5.1,Penalty,
,5-5.2,Adoption of Regulations,
,5-5.3,Considerations and Limitations,
,5-5.4,Violation of Regulations,
,5-5.5,Permits,
,5-5.6,Board of Airport Zoning Appeals -- Establishment and Administration,
,5-5.7,Board of Airport Zoning Appeals -- Grant of Variances,
,5-5.8,Board of Airport Zoning Appeals -- Judicial Review,
,5-5.9,Zoning Districts for Baltimore-Washington International Thurgood Marshall Airport,
,5-6.0,Administrative Agency,
,5-6.1,Definitions,
,5-6.1,Permits,
,5-6.2,Declaration of Purpose,
,5-6.2,Board of Appeals -- Establishment and Operation,
,5-6.3,Exceptions,
,5-6.3,Board of Appeals -- Appeals,
,5-6.4,Adoption of Regulations,
,5-6.4,Board of Appeals -- Grant of Variances,
,5-6.5,Joint Board of Political Subdivisions,
,5-6.5,Judicial Review,
,5-6.6,Considerations and Limitations,
,5-6.6,Acquisition of Property,
,5-6.7,Procedures for Adopting and Changing Regulations -- in General,
,5-6.7,Enforcement and Penalties,
,5-6.8,Procedures for Adopting and Changing Regulations -- Zoning Commission,
,5-6.9,Procedures for Adopting and Changing Regulations -- Airports Owned by and Located Outside of Political Subdivision,
,5-7.1,Legislative Policy,
,5-7.2,Adoption of Regulations,
,5-7.3,Prohibited Activities,
,5-7.4,Variances,
,5-7.5,Obstruction Lighting and Marking,
,5-7.6,Existing Nonconforming Uses,
,5-7.7,Conflict of Regulations,
,5-9.1,"""Air School"" Defined",
,5-9.2,Authority of Administration,
,5-9.3,License Required,
,5-9.4,Issuance of License; Fees,
,5-9.5,"Suspension, Revocation, or Refusal to Issue License",
,5-9.6,Penalties,
,5-10.1,Lawfulness of Operation,
,5-10.2,Liability Insurance,
,5-10.3,Federal Airman's Certificate of Competency,
,5-10.4,Collision of Aircraft,
,5-10.5,Injuries to Person or Property; Lien for Damage,
,5-10.6,Reckless Operation of Aircraft,
,5-10.7,Minimum Altitude of Certain Aircraft Over Sporting Arenas in Baltimore City,
,5-10.8,Firearms or Explosives Aboard Aircraft,
,5-10.9,Seaplanes,
,5-11.1,Exchange of Information,
,5-11.2,Enforcement of Aeronautics Laws,
,5-11.3,Court Aid,
,5-11.4,Citation to Appear in Court,
,5-11.5,Penalty,
,5-12.1,Definitions,
,5-12.2,Legislative Findings,
,5-12.3,Voluntary Land Acquisition Program,
,5-12.4,Homeowners Assistance Pilot Program -- in General,
,5-12.5,Homeowners Assistance Pilot Program -- Property Ineligible for Participation; Moratorium on Grant of Variances Under Subtitle 8 for Certain Property,
,5-201.1,Maryland Aviation Commission -- Management Personnel Positions; Chairman; Executive Director of Administration,
,5-201.2,Maryland Aviation Commission -- Annual Report,
,5-202.1,Maryland Aviation Administration -- Executive Director,
,5-212.1,Authority to Issue Citations for Motor Vehicle Parking Violations,
,5-705.1,Authority of Political Subdivisions to Cease Nighttime Operation of High Intensity Lighting Systems on Transmission Towers,
,6-1.1,Definitions,
,6-1.2,Legislative Policy,
,6-1.3,Territorial Jurisdiction,
,6-2.1,Commission -- in General,
,6-2.1,Control of Motor Vehicles at Port Facilities,
,6-2.2,Administration Established,
,6-2.2,Conflicts of Interest Prohibited,
,6-2.3,Executive Director,
,6-2.3,"Continuation and Change of Resolutions, Rules, Regulations, Forms, Orders, and Directives; References to Maryland Port Authority",
,6-2.4,General Powers of Administration,
,6-2.5,Operation and Maintenance of Port Facility at Cambridge,
,6-2.6,Protection of Navigation,
,6-2.7,Disposal of Waste Matter in Baltimore Harbor Area,
,6-2.8,Contracts -- in General,
,6-2.9,Gaming Aboard a Passenger Cruise Vessel,
,6-3.1,Acquisition of Property by Purchase or Condemnation,
,6-3.2,Power of State and Political Subdivisions to Transfer Property to Administration,
,6-3.3,Consent Required for Acquisition -- State-Owned Property,
,6-3.4,Consent Required for Acquisition -- Approval of Political Subdivision,
,6-3.5,Compliance With Planning and Development Regulations,
,6-3.6,Right of Entry to Make Surveys and Examinations,
,6-3.7,"Power of Political Subdivision to Construct, Acquire, Operate, or Improve Port Facilities",
,6-3.8,Scope of Taxation,
,6-3.9,Special Provisions for Anne Arundel County,
,6-4.0,Exercise of Powers of Baltimore City Not Impeded,
,6-4.1,Transfer of Baltimore Port Facilities,
,6-4.1,Payments in Lieu of Taxes,
,6-4.2,Arbitration,
,6-4.3,Transfer of Specific Duties and Functions,
,6-4.4,Effect of Transfer of Mccomas Street Terminal or National Gypsum Company Pier,
,6-4.5,Transfer of Other Baltimore Property,
,6-4.6,"Avoidance of Duplicated Effort; Continuation of Certain Powers, Duties, Ordinances, and Regulations",
,6-4.7,Agreements Between Administration and Baltimore City,
,6-4.8,Transfer of Employees,
,6-4.9,Matters Unaffected by Title; Termination of City Authority to Issue Certificates of Indebtedness,
,6-6.1,Liberal Construction,
,6-6.2,Penalties,
,6-102.1,Drug-Free Workplace Programs,
,6-201.1,Commission -- Chairman's Powers and Duties,
,6-201.2,Commission -- Powers and Duties,
,6-204.1,Labor Relations,
,7-1.1,Definitions,
,7-1.2,Legislative Policy -- in General,
,7-2.0,"Investigations, Inquiries, and Hearings",
,7-2.1,Administration Established,
,7-2.1,Conflict of Interests Prohibited,
,7-2.2,Maryland Transit Administrator,
,7-2.2,"Continuation and Change of Rules, Regulations, Forms, Orders, and Directives; References to Metropolitan Transit Authority and Public Transit Administration",
,7-2.3,Management and Control of Administration,
,7-2.4,General Powers of Administration,
,7-2.5,"Appropriation From the Transportation Trust Fund. [Effective Until July 1, 2029]",
,7-2.6,Personnel,
,7-2.7,Police Force,
,7-2.8,Jurisdiction of Administration Over Transit Facilities,
,7-2.9,General Counsel,
,7-3.0,Complete Streets Policy,
,7-3.1,Preparation and Contents of Transit Plans,
,7-3.1,Investment Programs for Marc Cornerstone Plan and Other Improvements -- Rail Priority Projects,
,7-3.2,Coordination in Preparation of Plan,
,7-3.3,Adoption of Plan by Secretary,
,7-3.4,Public Hearings,
,7-3.5,Provision for Funds Required Before Beginning Transit Facilities,
,7-3.6,Governmental Participation in Financing,
,7-3.8,"Departmental Agreements, Leases, and Equipment Trust Certificates for Acquisition of Transit Facilities or Equipment",
,7-3.9,Assessment of Capital Needs,
,7-4.1,Acquisition of Property,
,7-4.3,Purchases,
,7-4.4,Relocation Program and Payments,
,7-4.5,Relocation of Public Facility,
,7-4.6,Conversion of State Transit Bus Fleet to Zero-Emission Buses -- Development of Charging Infrastructure -- Annual Report on Implementation -- Items Included,
,7-5.1,Operation of Facilities,
,7-5.2,Coordination of Service by Public Service Commission,
,7-5.3,Coordination of Service by Administration,
,7-5.4,Administration May Perform Transit Service and Subsidize Private Carrier,
,7-5.5,Charges for Railroad or Transit Facilities,
,7-5.6,Hearings,
,7-5.7,Compliance With Disclosure Requirements Regarding Involvement in Deportations,
,7-6.1,Labor Contracts,
,7-6.2,Arbitration in Labor Disputes,
,7-6.3,Pensions,
,7-6.4,Compensation of Laborers and Mechanics,
,7-6.5,Employee Protective Arrangements,
,7-6.6,Obligations of Administration on Acquisition of Transit Facilities,
,7-6.7,Obligations of Administration on Acquisition of Transportation System,
,7-7.0,Ridership Provided to Certain Students and Youth Workers -- Collection of Fees Prohibited -- Regulations Establishing Eligibility,
,7-7.1,Compliance With Local Laws; Location of Railroad or Transit Facilities,
,7-7.1,Ridership on Transit Vehicles,
,7-7.2,Liability for Contracts and Torts; Institution of Action; Notice of Claims,
,7-7.2,Opioid Treatment Program Patients -- Disabled Reduced Fare Program -- Annual Report,
,7-7.3,Insurance,
,7-7.3,Southern Maryland Rapid Transit Project -- Steps Necessary to Secure Record of Decision -- Annual Appropriation,
,7-7.4,Exemptions From Taxation,
,7-7.5,Prohibited Acts,
,7-7.6,Liberal Construction,
,7-7.7,"Vehicles, Articles and Equipment Improperly Placed or Abandoned on Administration Property",
,7-7.8,"Studies of Utilization of Bus, Rail, and Subway Transportation Services Under the Jurisdiction of Wmata; Reports",
,7-7.9,Washington Metrorail Safety Commission,
,7-8.1,"Anne Arundel, Calvert, Carroll, Frederick, Garrett, Howard, and Montgomery Counties",
,7-9.1,Railroad Corridor Property,
,7-9.2,Passenger Railroad Services,
,7-9.3,"Rules, Regulations, etc., Under Former State Railroad Administration",
,7-10.1,Definitions,
,7-10.2,Program Established,
,7-10.3,Award of Grants; Amount; Distribution,
,7-10.4,Consultation With Department of Aging,
,7-10.5,Reports,
,7-11.1,Definitions,
,7-11.2,Established,
,7-11.3,Distribution of Funds,
,7-11.4,Grant Applications,
,7-11.5,Awarding of Grants,
,7-11.6,Amount and Term,
,7-11.7,Annual Appropriation,
,7-11.8,Study,
,7-102.1,Legislative Policy -- Costs; Provision of Services; Protection of Labor; Needs of the Elderly and Handicapped,
,7-203.1,Light Rail and Metro Subway -- State Safety Oversight Authority,
,7-301.1,Central Maryland Regional Transit Plan,
,7-704.1,Payment of Fare on Unattended Transit Vehicles or Facilities,
,8-1.1,Definitions,
,8-1.2,Alternatives to Proposed Project,
,8-4.0,Approval Required for Construction or Reconstruction by County or Municipality,
,8-4.1,Definitions,
,8-4.1,Information to Be Furnished to Administration,
,8-4.2,Gasoline and Motor Vehicle Revenue Account,
,8-4.2,Account of Expenditures of Highway User Revenues,
,8-4.3,Highway User Revenues for Local Governments,
,8-4.3,Report of Administration to Counties and Baltimore City,
,8-4.4,Computation of Amount of Highway User Revenues -- for County,
,8-4.5,Computation of Amount of Highway User Revenues -- for Municipality,
,8-4.6,Conditions on Distribution of Highway User Revenues,
,8-4.7,Manner of Disbursement of Funds for Counties and Municipalities,
,8-4.8,Permitted Uses of Highway User Revenues,
,8-4.9,"Establishment and Maintenance of Footpaths, Bridle Paths or Horse Trails, and Bicycle Trails",
,8-5.1,"""Federal Acts"" Defined",
,8-5.2,Legislative Policy,
,8-5.3,Power of Administration and Political Subdivisions to Comply With Federal Acts,
,8-5.4,Sources of Matching Funds for Federal Acts,
,8-5.5,Use of Federal Funds by Administration,
,8-5.6,Payment for Relocation of Publicly Owned Utility Facilities,
,8-5.7,County and Municipal Urban Area Highway Construction Funds,
,8-5.8,Highway or Capital Transit Construction Training and Support Services,
,8-8.0,Limit on Authority to Make Expenditures,
,8-8.1,Definitions,
,8-8.1,Effect of Subtitle on Other Laws,
,8-8.2,Legislative Policy,
,8-8.2,Injunction; Penalties,
,8-8.3,License Required for Junkyard or Certain Facilities,
,8-8.4,License Application; Term and Renewal,
,8-8.5,Annual License Fee,
,8-8.6,Issuance of License,
,8-8.7,Junkyards or Certain Facilities for Which License May Not Be Issued,
,8-8.8,Rules and Regulations,
,8-8.9,Certain Preexisting Junkyards or Other Facilities to Be Screened or Relocated,
,8-9.1,Definitions,
,8-9.2,Established,
,8-9.3,Purpose and Goals,
,8-9.4,Funding,
,8-9.5,Adoption of Policy by Local Government,
,8-9.6,Matching Grants for Certified Jurisdiction,
,8-9.7,Regulations,
,8-9.8,Report,
,8-10.1,Definitions,
,8-10.2,Vision Zero Program,
,8-10.3,Purpose; Goal,
,8-10.4,Coordinator,
,8-10.5,Implementation,
,8-10.6,Funding,
,8-10.7,Report,
,10-1.1,Applicability of Title 5 Definitions,
,10-1.2,Enactment of Compact,
,10-1.3,Text of Potomac Highlands Airport Authority Compact,
,10-2.1,"""Article"", ""Section"", and ""Title"" Defined; Certain Definitions Inapplicable to Compact",
,10-2.2,Execution of Compact,
,10-2.3,Text of Washington Metropolitan Area Transit Regulation Compact,
,10-2.4,Text of Washington Metropolitan Area Transit Authority Compact,
,10-2.5,Grants to Washington Suburban Transit District,
,10-2.6,Approval of Secretary Required for Extension or Revision of Routes,
,10-2.7,Grants to Local Bus Systems,
,10-2.8,Washington Metrorail Safety Commission Interstate Compact,
,10-2.9,Washington Metropolitan Area Transit Authority -- Exclusion,
,10-206.1,Transit Service for Disabled Persons,
,11-1.0,Conviction,
,11-1.0,Farm Equipment,
,11-1.0,Local Authority,
,11-1.0,Nonresident's Privilege to Drive,
,11-1.0,Revoke (License to Drive),
,11-1.0,Stand,
,11-1.0,Travel Trailer,
,11-1.1,In General,
,11-1.1,Dealer,
,11-1.1,Farm Tractor,
,11-1.1,Mail,
,11-1.1,Operate,
,11-1.1,Roadway,
,11-1.1,State,
,11-1.1,Truck,
,11-1.2,Administration,
,11-1.2,Distributor,
,11-1.2,Fixed Termini,
,11-1.2,Manufacturer,
,11-1.2,Operator,
,11-1.2,Salvage,
,11-1.2,Stop,
,11-1.2,Truck Tractor,
,11-1.3,Administrator,
,11-1.3,Divided Highway,
,11-1.3,Flammable Liquid,
,11-1.3,Metal Tire,
,11-1.3,Owner,
,11-1.3,School Bus,
,11-1.3,Street,
,11-1.3,Type I School Vehicle,
,11-1.4,Bicycle,
,11-1.4,Drive,
,11-1.4,Foreign Vehicle,
,11-1.4,Mobile Home,
,11-1.4,Park,
,11-1.4,School Vehicle,
,11-1.4,Suspend (License to Drive),
,11-1.4,Type Ii School Vehicle,
,11-1.5,Bus,
,11-1.5,Driver,
,11-1.5,Franchise,
,11-1.5,Motor Vehicle,
,11-1.5,Pedestrian,
,11-1.5,Secured Party,
,11-1.5,Taxicab,
,11-1.5,Used Vehicle,
,11-1.6,Camping Trailer,
,11-1.6,Driver's License,
,11-1.6,Gross Weight,
,11-1.6,Motorcycle,
,11-1.6,Pole Trailer,
,11-1.6,Security Agreement,
,11-1.6,Traffic,
,11-1.6,Vehicle,
,11-1.7,Cancel (Driver's License),
,11-1.7,Educational Purposes,
,11-1.7,Highway,
,11-1.7,Name,
,11-1.7,Police Officer,
,11-1.7,Security Interest,
,11-1.7,Traffic Control Device,
,11-1.7,Vehicle Identification Number,
,11-1.8,Combination,
,11-1.8,Emergency Vehicle,
,11-1.8,License (To Drive),
,11-1.8,New Vehicle,
,11-1.8,Regular Schedule,
,11-1.8,Semitrailer,
,11-1.8,Traffic Control Signal,
,11-1.9,Commercial Driver's License,
,11-1.9,Explosive,
,11-1.9,"Licensed Dealer, Distributor, Factory Branch, or Manufacturer",
,11-1.9,Nonresident,
,11-1.9,Resident,
,11-1.9,Special Mobile Equipment,
,11-1.9,Trailer,
,11-2.1,Applicability of Definitions,
,11-2.2,Uniformity of Interpretation,
,11-2.3,Maryland Vehicle Law Not Retroactive,
,11-2.4,No Repeal by Implication,
,11-2.5,Private Rights Preserved,
,11-2.6,Short Title,
,11-103.1,Alcohol,
,11-103.2,Alcohol Concentration,
,11-103.3,All-Terrain Vehicle,
,11-103.4,Autocycle,
,11-104.1,Boat Trailer,
,11-111.1,Disqualification,
,11-113.1,Domicile,
,11-117.1,Electric Bicycle,
,11-117.2,Electric Low Speed Scooter,
,11-121.1,Fifth Wheel Travel Trailer,
,11-125.1,Fuel Cell Electric Vehicle,
,11-127.1,Lawful Status,
,11-127.2,Lease Intended as Security; Lease Not Intended as Security,
,11-129.1,Limousine,
,11-130.1,Low Speed Vehicle,
,11-134.1,Moped,
,11-134.2,Motor Carrier,
,11-134.3,Motor Home,
,11-134.4,Motorized Minibike,
,11-134.5,Motor Scooter,
,11-136.1,Moving Violation,
,11-136.2,Multipurpose Passenger Vehicle,
,11-140.1,Off-Highway Recreational Vehicles,
,11-142.1,Organ Delivery Vehicle,
,11-144.1,Park Model Recreational Vehicle,
,11-144.2,Passenger Car,
,11-145.1,Plug-in Electric Drive Vehicle,
,11-148.1,Rental Vehicle,
,11-150.1,Ridesharing,
,11-151.1,Rollback,
,11-154.1,Scooter,
,11-165.1,Temporary Lawful Status,
,11-174.1,Under the Influence of Alcohol per Se,
,11-175.1,Vanpool Operation,
,12-1.0,Repossession of Documents and Plates,
,12-1.0,Miscellaneous Fees,
,12-1.1,Administration Established,
,12-1.1,Records of Administration -- in General,
,12-1.2,Motor Vehicle Administrator; Chief Deputy Administrator,
,12-1.2,Records -- Listings of Information,
,12-1.3,Management and Control of Administration,
,12-1.3,Records -- Copies; Certified Copies; Use in Judicial Proceedings,
,12-1.4,General Powers and Duties of Administration,
,12-1.4,Notices,
,12-1.5,Forms for Documents and Notices,
,12-1.5,"Distribution of Summary of Laws; Publication of Text of Laws, Rules, and Regulations",
,12-1.6,Review of Applications,
,12-1.6,Service Charge for Bad Checks,
,12-1.7,Rental or Leasing of Motor Vehicles,
,12-1.7,Interference With Persons Doing Business; Unauthorized Solicitations,
,12-1.8,Authority to Subpoena Witnesses and Take Testimony,
,12-1.8,Disposition of Revenues,
,12-1.9,Oaths and Acknowledgments; Certifications,
,12-1.9,"Continuation and Change of Rules, Regulations, Forms, Orders, and Directives; References to Department of Motor Vehicles and Commissioner of Motor Vehicles",
,12-2.1,"""Licensee"" Defined",
,12-2.2,Notice of Required Hearings,
,12-2.3,Notice of Right to Request Hearing; Time of Hearing and Decision,
,12-2.4,Contents of Notice of Scheduled Hearing,
